"dbid","display_name","Attachments","SupportingDocuments","WBS","Forms","Description"
"33772163","ISSDM00217731","F:\AttachmentHRTest\33772163\DEFECT 32 - OVTEDDOTOTMM  without attachement.msg","","",""," "
"33773716","ISSDM00219284","F:\AttachmentHRTest\33773716\Meeting Notes_04232020.msg,F:\AttachmentHRTest\33773716\FinalDesignNotesFromBusinessHRIS.msg,F:\AttachmentHRTest\33773716\CQ219284 - UAT_SignOff.msg","","",""," , , "
"33774020","ISSDM00219588","F:\AttachmentHRTest\33774020\Australia Requirements_V2.0.docx,F:\AttachmentHRTest\33774020\Australia 1099 Tax Reporting Requirements .msg","","",""," , "
"33774171","ISSDM00219739","F:\AttachmentHRTest\33774171\RE 2020 OE UAT Sign-off.msg,F:\AttachmentHRTest\33774171\2021OpenEnrollmentUATPlan_FINAL.xlsx","","",""," , "
"33769211","ISSDM00214779","F:\AttachmentHRTest\33769211\RE RehiredReactivated Employees.msg","","",""," "
"33769363","ISSDM00214931","F:\AttachmentHRTest\33769363\SSRS FBCP reports.xlsx,F:\AttachmentHRTest\33769363\ISSC Project Pitch - XXX - SSRS to JECT.docx","","",""," , "
"33772756","ISSDM00218324","F:\AttachmentHRTest\33772756\Dry Dock Pay Casino staff.msg","","",""," "
"33773720","ISSDM00219288","F:\AttachmentHRTest\33773720\RE 2020 OE UAT Sign-off.msg,F:\AttachmentHRTest\33773720\2021OpenEnrollmentUATPlan_FINAL.xlsx,F:\AttachmentHRTest\33773720\Year End Life Event Optimization.msg","","",""," , , "
"33774049","ISSDM00219617","F:\AttachmentHRTest\33774049\RE PVR PRODUCTION.msg","","",""," "
"33774063","ISSDM00219631","F:\AttachmentHRTest\33774063\RE Verification Report.msg","","",""," "
"33769759","ISSDM00215327","","F:\AttachmentHRTest\33769759\employee 419907 - HSA Plan Option Changed.msg","",""," "
"33773291","ISSDM00218859","F:\AttachmentHRTest\33773291\RE  1099-NEC Nonemployee Comp.msg,F:\AttachmentHRTest\33773291\CQ218859_Requirement_Wireframes_Approval.msg,F:\AttachmentHRTest\33773291\IRS Mandate Requirements_V3.docx,F:\AttachmentHRTest\33773291\1099_NEC.PNG,F:\AttachmentHRTest\33773291\1099_Misc.png,F:\AttachmentHRTest\33773291\CQ218859_UATSignOff.msg,F:\AttachmentHRTest\33773291\CQ218859_PassedTestScripts.msg","","","","Email with information from tax dept, , , , , , "
"33774090","ISSDM00219658","F:\AttachmentHRTest\33774090\JECT interface to Oracle.msg","","","","Email Communication with details"
"33771182","ISSDM00216750","F:\AttachmentHRTest\33771182\11 NOV-19.pdf,F:\AttachmentHRTest\33771182\GBP tix from CentComm.docx","","","","GBP Airline CC - billing stmt with true bi,Flow of incorrect amount to mapper"
"33774119","ISSDM00219687","F:\AttachmentHRTest\33774119\SSRS_ValidationResults.xlsx,F:\AttachmentHRTest\33774119\RE 2020 OE UAT Sign-off.msg,F:\AttachmentHRTest\33774119\2021OpenEnrollmentUATPlan_FINAL.xlsx","","","","SSRS results, , "
"33774139","ISSDM00219707","F:\AttachmentHRTest\33774139\RE 2020 OE UAT Sign-off.msg,F:\AttachmentHRTest\33774139\2021OpenEnrollmentUATPlan_FINAL.xlsx","","",""," , "
"33774220","ISSDM00219788","F:\AttachmentHRTest\33774220\CSOD SSO Certificate.msg","","",""," "
"33774222","ISSDM00219790","F:\AttachmentHRTest\33774222\Shared drive storage issues checkpoint.msg","","",""," "
"33774285","ISSDM00219853","F:\AttachmentHRTest\33774285\RE Pre-Payroll Tasks.msg","","",""," "
"33773893","ISSDM00219461","F:\AttachmentHRTest\33773893\PVR Report Updates.msg","","",""," "
